texts,Classes,Key_words
"0,""Хочу войти в личный кабинет,не получается восстановить логин и пароль""",Сайт,"Логин, пароль, личный кабинет"
"1,""Закройте ,Ашан !!!!!!!! Срочно! Автобусы до Ашана . ,Прекратить работу Ашана , !что""",Предложение благоустройство,"Закройте, автобусы"
"2,""Уважаемый Сергей Семёнович! Прошу срочно рассмотреть мое сообщение, т.к. от него может зависеть жизни сотни тысяч людей. Громадные жертвы от коронавируса в некоторых странах связаны с тем, что система здравоохранения, во-первых сама его распространяет, когда привозит подозреваемых в общие палаты и пока они ждут результатов анализов заражают друг друга, а во-вторых она их добивает, когда уже больные лежат вместе и заражают друг друга бактериальными инфекциями, смертельными на фоне коронавируса. В общем индивидуальные места для больных, и подозреваемых - вопрос жизни и смерти. И такие ресурсы помещений есть. Это гостиницы. Нужно срочно начать отработку передачи их больницам в пользование. Это потребует грамотных административных действий, и тренироваться нужно начать вчера. Надеюсь на вашу мудрость и управленческую  мощь.""",Предложение медицина,"Палаты, короновирус, здравоохранение"
"3,Sherzod sadullayev",Спам,
"4,""Согласно инструкции был сгенерирован логин chembarisovaea и придуман пароль. Но под этими данными ребенок все равно не может войти.""",Сайт,"Логин, пароль"
"5,Не могу восстановить пароль и войти в приложение.",Сайт,"Пароль, войти"
"6,""Не могу зайти на страницу, выдаёт ошибкушибки: 2020-04-13-12-37-28-4BFCCE642FCE6CD1""",Сайт,"Страница, зайти"
"7,""Для увеличения численности медицинских работников, задействованных в борьбе с коронавирусом, предлагаю привлечь к работе трудовых мигрантов из стран СНГ, имеющих дипломы медицинских ВУЗов республик бывшего СССР и работавших в здравоохранении у себя на родине до приезда в РФ. Ранее они работали в Москве нянями, сиделками и т.п., а сейчас потеряли работу из-за пандемии, но уехать на родину не успели. Думаю, среди них найдутся желающие поработать по медицинской специальности на период эпидемии.""",Предложение медицина,"Медицинские работники, здравоохранение"
"8,Нужен электронный код",Спам,
"9,Xurram",Спам,
"10,Все время страница не доступна",Сайт,"Страница,"
"11,""Запретите инспекторам ГИБДД и всем проверяющим брать в руки документы граждан. Ведь они проверяют за день десятки, а может и сотни документов, и ченез свои руки могут передать короновирус. Пусть рассматривают документы из рук граждан.""",Предложение медицина,Короновирус
"12,Мне надо это сделать чтобы на улице не было проблем",Спам,
"13,Да",Спам,
"14,1998",Спам,
"15,Помогите регистр",Спам,
"16,Как сделать",Спам,
"17,Как получаем код потверждение",Спам,
"18,Da",Спам,
"19,ООО <<ПК  <<ЛИДЕР>>",Спам,
"20,ООО ПК ЛИДЕР",Спам,
"21,На работу хочу",Спам,
"22,Почему сервис не доступен",Сайт,Сервис
"23,Не могу зайти",Сайт,Зайти
"24,Хочу дополнить данные!",Спам,
"25,Бобобеков мафтун Имомаливич",Спам,
"26,Не получается зарегистрировать",Сайт,Зарегистрироваться
"27,""удалите этот сайт, и никогда больше не делайте ничего, что связано с умственным трудом. это не для вас.""",Сайт,Сайт
"28,Цифровой код",Спам,
"29,Если работающие на удаленке грубо нарушают самоизоляцию лишать зарплаты. Отрезвит сразу",Предложение законодательство,Удаленка
"30,A",Спам,
"31,Поездка на работе",Спам,
"32,nedoma mos.ru",Спам,
"33,Не выдоёт поопуск после регестрации.",Сайт,Регистрация
"34,Не приходит сообщение о подтверждении",Сайт,"Подтверждение, приходит"
"35,Я работаю на ООО Мастер плюс",Спам,
"36,Я работаю на ООО Мастер плюс",Спам,
"37,Зарегистриватся",Спам,
"38,Не могу зарегистрироваться!",Сайт,Зарегистрироваться
"39,Московский метрополитен",Спам,
"40,Кто я",Спам,
"41,Кто я",Спам,
"42,Я",Спам,
"43,Rabota",Спам,
"44,Я работаю в кондитерском мне нужно разрешение от госуслуги",Сайт,Гос. Услуги
"45,Проблема не могу открыть",Спам,
"46,Как получить цифровой  код",Сайт,Цифровой код
"47,Пропус  нада",Спам,
"48,Как зовут мою маму",Спам,
"49,""Как получить цифровой код по передвижению г,Москвы""",Сайт,Цифровой код
"50,Я хочу  получить  цифровую код",Сайт,Цифровой код
"51,Я хочу  получить  цифровую код",Сайт,Цифровой код
"52,""Чтоб пройти регистрацию на этом портале, а лучшем случае разбить смартфон о стену и в худшем слететь с катушек. Вводил коды раз 15.... Никакого результата. Мой код что вводил не подходит. Зачем так замораживать людям головы, объясните!   Это издевательство на своими (или мы вам не """"свои""""?) гражданами. С коронавирусом дурдом  и сумасшествие.  Лучше б подумали что с дохлой экономикой делать.""",Сайт,"Регистрация, портал"
"53,Мы не можем оформлять",Спам,
"54,Цифровой пропус авто на работу",Сайт,Цифровой пропуск
"55,электроный журнал сбой",Сайт,Электронный журнал
"56,Здравствуйте хотим получить штрих код",Спам,
