texts,Classes,Key_words,label
"0,""Хочу войти в личный кабинет,не получается восстановить логин и пароль""",Сайт,"Логин, пароль, личный кабинет",9
"1,""Закройте ,Ашан !!!!!!!! Срочно! Автобусы до Ашана . ,Прекратить работу Ашана , !что""",Предложение благоустройство,"Закройте, автобусы",4
"2,""Уважаемый Сергей Семёнович! Прошу срочно рассмотреть мое сообщение, т.к. от него может зависеть жизни сотни тысяч людей. Громадные жертвы от коронавируса в некоторых странах связаны с тем, что система здравоохранения, во-первых сама его распространяет, когда привозит подозреваемых в общие палаты и пока они ждут результатов анализов заражают друг друга, а во-вторых она их добивает, когда уже больные лежат вместе и заражают друг друга бактериальными инфекциями, смертельными на фоне коронавируса. В общем индивидуальные места для больных, и подозреваемых - вопрос жизни и смерти. И такие ресурсы помещений есть. Это гостиницы. Нужно срочно начать отработку передачи их больницам в пользование. Это потребует грамотных административных действий, и тренироваться нужно начать вчера. Надеюсь на вашу мудрость и управленческую  мощь.""",Предложение медицина,"Палаты, короновирус, здравоохранение",5
"3,Sherzod sadullayev",Спам,,1
"4,""Согласно инструкции был сгенерирован логин chembarisovaea и придуман пароль. Но под этими данными ребенок все равно не может войти.""",Сайт,"Логин, пароль",9
"5,Не могу восстановить пароль и войти в приложение.",Сайт,"Пароль, войти",9
"6,""Не могу зайти на страницу, выдаёт ошибкушибки: 2020-04-13-12-37-28-4BFCCE642FCE6CD1""",Сайт,"Страница, зайти",9
"7,""Для увеличения численности медицинских работников, задействованных в борьбе с коронавирусом, предлагаю привлечь к работе трудовых мигрантов из стран СНГ, имеющих дипломы медицинских ВУЗов республик бывшего СССР и работавших в здравоохранении у себя на родине до приезда в РФ. Ранее они работали в Москве нянями, сиделками и т.п., а сейчас потеряли работу из-за пандемии, но уехать на родину не успели. Думаю, среди них найдутся желающие поработать по медицинской специальности на период эпидемии.""",Предложение медицина,"Медицинские работники, здравоохранение",5
"8,Нужен электронный код",Спам,,1
"9,Xurram",Спам,,1
"10,Все время страница не доступна",Сайт,"Страница,",9
"11,""Запретите инспекторам ГИБДД и всем проверяющим брать в руки документы граждан. Ведь они проверяют за день десятки, а может и сотни документов, и ченез свои руки могут передать короновирус. Пусть рассматривают документы из рук граждан.""",Предложение медицина,Короновирус,5
"12,Мне надо это сделать чтобы на улице не было проблем",Спам,,1
"13,Да",Спам,,1
"14,1998",Спам,,1
"15,Помогите регистр",Спам,,1
"16,Как сделать",Спам,,1
"17,Как получаем код потверждение",Спам,,1
"18,Da",Спам,,1
"19,ООО <<ПК  <<ЛИДЕР>>",Спам,,1
"20,ООО ПК ЛИДЕР",Спам,,1
"21,На работу хочу",Спам,,1
"22,Почему сервис не доступен",Сайт,Сервис,9
"23,Не могу зайти",Сайт,Зайти,9
"24,Хочу дополнить данные!",Спам,,1
"25,Бобобеков мафтун Имомаливич",Спам,,1
"26,Не получается зарегистрировать",Сайт,Зарегистрироваться,9
"27,""удалите этот сайт, и никогда больше не делайте ничего, что связано с умственным трудом. это не для вас.""",Сайт,Сайт,9
"28,Цифровой код",Спам,,1
"30,A",Спам,,1
"31,Поездка на работе",Спам,,1
